director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Samir Karnik,Kulraj Randhawa, Tusshar Kapoor, Anupam Kher,Comedy Hindi,chaar din ki chandni,Kulraj Randhawa Tusshar Kapoor Anupam Kher Comedy Hindi	
Ashu Trikha,Mithun Chakraborthy, Ranjeeta Kaur, Ashish Sharma,Romance Hindi,zindagi tere naam,Mithun Chakraborthy Ranjeeta Kaur Ashish Sharma Romance Hindi
Sriram Raghavan,Saif Ali Khan, Kareena Kapoor, Ram Kapoor,Suspense Thriller Hindi,agent vinod,Saif Ali Khan Kareena Kapoor Ram Kapoor Suspense Thriller Hindi
Vishal Mahadkar,Kunal Khemu, Amrita Puri, Manish Chaudhari,Thriller Hindi,blood money,Kunal Khemu Amrita Puri Manish Chaudhari Thriller Hindi
Puri Jagannadh,Ramya Krishnan,Vijay Deverakonda,Ananya Panday,Drama Hindi,liger,Ramya Krishnan Vijay Deverakonda Ananya Panday Drama Hindi
Laxman Utekar,Evelyn Edwards,Kriti Sanon,Sai Tamhankar,Drama Hindi,mimi,Evelyn Edwards Kriti Sanon Sai Tamhankar Drama Hindi
Saumitra Singh,Mahesh Manjrekar,Jagjeet Sandhu,Anangsha Biswas,Thriller	Hindi,taxi no. 24,Mahesh Manjrekar Jagjeet Sandhu Anangsha Biswas Thriller Hindi
Indra Kumar,Rakul Preet Singh,Ajay Devgn,Sidharth Malhotra,Comedy Hindi,thank god,Rakul Preet Singh Ajay Devgn Sidharth Malhotra Comedy Hindi						
Kookie Gulati,Abhishek Bachchan,Nikita Dutta,Ileana D'Cruz,Biography Crime Drama,the big bull,Abhishek Bachchan Nikita Dutta Ileana D'Cruz Biography Crime Drama
Ahmed Khan,Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor,Action Comedy Musical,baaghi 3,Tiger Shroff Riteish Deshmukh Shraddha Kapoor Action Comedy Musical
Rajkumar Santoshi,Namashi Chakraborthy,Amrin Qureshi,Madhu Anand Chandhock,Comedy Romance,bad boy,Namashi Chakraborthy Amrin Qureshi Madhu Anand Chandhock Comedy Romance
Krishna Bhatt,Mohit Sehgal,Priyal Gor,Barkha Bisht,Romance,badnaam,Mohit Sehgal Priyal Gor Barkha Bisht Romance
Anvita Dutt,Tripti Dimri,Avinash Tiwary,Rahul Bose,Drama Horror Mystery,bulbbul,Tripti Dimri Avinash Tiwary Rahul Bose Drama Horror Mystery
Atul Sabharwal,Bobby Deol,Anup Soni,Joy Sengupta,Action Crime Drama,class of '83,Bobby Deol Anup Soni Joy Sengupta Action Crime Drama
David Dhawan,Varun Dhawan,Sara Ali Khan,Paresh Rawal,Action Comedy Romance,coolie no. 1,Varun Dhawan Sara Ali Khan Paresh Rawal Action Comedy Romance
Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,Comedy Drama Romance,dil bechara,Sushant Singh Rajput Sanjana Sanghi Sahil Vaid Comedy Drama Romance
Puneet Khanna,Yami Gautam,Vikrant Massey,Ayesha Raza,Comedy Drama Romance,ginny weds sunny,Yami Gautam Vikrant Massey Ayesha Raza Comedy Drama Romance
Abir Sengupta,Kiara Advani,Aditya Seal,Mushtaq Khan,Comedy Drama,indoo ki jawani,Kiara Advani Aditya Seal Mushtaq Khan Comedy Drama
Navjot Gulati,Poonam Dhillon,Supriya Pathak,Sunny Singh Nijjar,Comedy Drama Romance,jai mummy di,Poonam Dhillon Supriya Pathak Sunny Singh Nijjar Comedy Drama Romance
Nitin Kakkar,Saif Ali Khan,Alaya F,Tabu,Comedy Drama,jawaani jaaneman,Saif Ali Khan Alaya F Tabu Comedy Drama
R.k. Sharma,Ranbeeir Kalsi,Sharvani Sahay,Elena Tuteja,Comedy Drama,kehta hai yeh dil,Ranbeeir Kalsi Sharvani Sahay Elena Tuteja Comedy Drama
Lawrence Raghavendra,Balakrishnan Thevar,Akshay Kumar,Kiara Advani,Action Comedy Horror,laxmii,Balakrishnan Thevar Akshay Kumar Kiara Advani Action Comedy Horror
Rajesh Krishnan,Kunal Khemu,Rasika Dugal,Vijay Raaz,Comedy Crime,lootcase,Kunal Khemu Rasika Dugal Vijay Raaz Comedy Crime
Imtiaz Ali,Kartik Aaryan,Sara Ali Khan,Randeep Hooda,Drama Romance,love aaj kal,Kartik Aaryan Sara Ali Khan Randeep Hooda Drama Romance
Rupesh Paul,Tanima Bhattacharya,Karan Maan,Ashutosh Singh,Crime,love in a taxi,Tanima Bhattacharya Karan Maan Ashutosh Singh Crime
Anurag Basu,PankajTripathi,Abhishek Bachchan,Rajkummar Rao,Action Comedy Crime,ludo,PankajTripathi Abhishek Bachchan Rajkummar Rao Action Comedy Crime
Ashwini Malik,Prabhat Raghunandan,Swati Sen,Gaurav Sharma,Drama,maali,Prabhat Raghunandan Swati Sen Gaurav Sharma Drama
Jagdish A. Sharma,Hrishitaa Bhatt,Prem Chopra,Kader Khan,Action,main hoon khalnayak,Hrishitaa Bhatt Prem Chopra Kader Khan Action
Prasadh Inamdar,Sudhir Dalvi,Sharib Hashmi,Satish Kaushik,Drama Thriller,mrs & mr khurana,Sudhir Dalvi Sharib Hashmi Satish Kaushik Drama Thriller
Dinkar Kapoor,Krishna Abhishek,Karthik Jayaram,Arjumman Mughal,Comedy Thriller,o pushpa i hate tears,Krishna Abhishek Karthik Jayaram Arjumman Mughal Comedy Thriller
Ranjeet Gupta,Seema Azmi,Shweta Bhardwaj,Zakir Hussain,Comedy Drama,omprakash zindabad,Seema Azmi Shweta Bhardwaj Zakir Hussain Comedy Drama
Supriya Khan,Ismail Umarr Khan,Shweta Khanduri,Mousam Sharma,Comedy Romance,one stop for love,Ismail Umarr Khan Shweta Khanduri Mousam Sharma Comedy Romance
Sanjay Gadhvi,Amit Sadh,Rucha Inamdar,Rahul Dev,Action Drama Thriller,operation parindey,Amit Sadh Rucha Inamdar Rahul Dev Action Drama Thriller
Ramesh Sippy,Hema Malini,Rajkummar Rao,Rakul Preet Singh,Comedy Romance,shimla mirchi,Hema Malini Rajkummar Rao Rakul Preet Singh Comedy Romance
Anubhav Sinha,Taapsee Pannu,Pavail Gulati,Kumud Mishra,Drama,thappad,Taapsee Pannu Pavail Gulati Kumud Mishra Drama
Ajay Lohan,Urvashi Rautela,Gautam Gulati,Rumana Molla,Comedy Drama,virgin bhanupriya,Urvashi Rautela Gautam Gulati Rumana Molla Comedy Drama
Pushkar Mahabal,Kashmira Irani,Swarda Thigle,Shashi Bhushan,Crime Drama Horror,welcome home,Kashmira Irani Swarda Thigle Shashi Bhushan Crime Drama Horror
Mani Shankar,Milind Soman, Dipannita Sharma, Gulshan Grover,Action Hindi,16 december,Milind Soman Dipannita Sharma Gulshan Grover Action Hindi
Guddu Dhanoa,Sunny Deol, Bobby Deol, Divya Dutta,Historical Drama Hindi,shaheed,Sunny Deol Bobby Deol Divya Dutta Historical Drama Hindi
Vikram Bhatt,Hrithik Roshan, Amisha Patel, Ali Asgar,Romance Drama Hindi,aap mujhe achche lagne lage,Hrithik Roshan Amisha Patel Ali Asgar Romance Drama Hindi
Raj Kanwar, Amrita Rao, Arya Babbar, Ashish Vidyarthi,Romance Drama Hindi,ab ke baras, Amrita Rao Arya Babbar Ashish Vidyarthi Romance Drama Hindi
Arjun Sajnani,Amitabh Bachchan, Akkineni Nagarjuna, Jackie Shroff,Historical Hindi,agni varsha,Amitabh Bachchan Akkineni Nagarjuna Jackie Shroff Historical Hindi
Harmesh Malhotra,Govinda, Raveena Tandon, Kader Khan,	Comedy Hindi,akhiyon se goli maare,Govinda Raveena Tandon Kader Khan Comedy Hindi
Ravi Dewan,Sunil Shetty, Sanjay Dutt, Ashutosh Rana,Action Thriller Hindi,annarth,Sunil Shetty Sanjay Dutt Ashutosh Rana Action Thriller Hindi
Vikram Bhatt,Akshay Kumar, Sunil Shetty, Paresh Rawal,Action Comedy Hindi,awara paagal deewana,Akshay Kumar Sunil Shetty Paresh Rawal Action Comedy Hindi
Satish Kaushik,Anil Kapoor, Shilpa Shetty, Kirti Reddy,Comedy Drama Hindi,badhaai ho badhaai,Anil Kapoor Shilpa Shetty Kirti Reddy Comedy Drama Hindi
Aziz Sejawal,Govinda, Rani Mukerji, Sanjay Suri,Comedy Hindi,chalo ishq ladaaye,Govinda Rani Mukerji Sanjay Suri Comedy Hindi
Aziz Sejawal,Bobby Deol, Shilpa Shetty, Bipasha Basu,	Comedy Romance Crime Hindi,chor machaaye shor,Bobby Deol Shilpa Shetty Bipasha Basu Comedy Romance Crime Hindi
Ram Gopal Varma,Mohanlal, Ajay Devgn, Manisha Koirala,Crime Drama Hindi,company,Mohanlal Ajay Devgn Manisha Koirala Crime Drama Hindi
Kundan Shah,Rekha, Preity Zinta, Mahima Chaudhry,Family Romance Drama Hindi,dil hai tumhaara,Rekha Preity Zinta Mahima Chaudhry Family Romance Drama Hindi
Anant Mahadevan,Jimmy Sheirgill, Sanjay Suri, Namrata Shirodkar,Romance Drama Hindi,dil vil pyar vyar,Jimmy Sheirgill Sanjay Suri Namrata Shirodkar Romance Drama Hindi
Meghna Gulzar,Tabu, Sushmita Sen, Sanjay Suri,Drama Hindi,filhaal,Tabu Sushmita Sen Sanjay Suri Drama Hindi
Amol Shetge,Dino Morea, Bipasha Basu, Irrfan Khan,Thriller Romance Hindi,gunaah,Dino Morea Bipasha Basu Irrfan KhanThriller Romance Hindi
Dharmesh Darshan,Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Drama Romance Hindi,haan maine bhi pyaar kiya,Akshay Kumar Karisma Kapoor Abhishek Bachchan Drama Romance Hindi
Mahesh Manjrekar,Sanjay Dutt, Shilpa Shetty, Namrata Shirodkar,Drama Hindi,hathyar,Sanjay Dutt Shilpa Shetty Namrata Shirodkar Drama Hindi
David Dhawan,Amitabh Bachchan, Ajay Devgn, Sanjay Dutt,Action Comedy Hindi,hum kisise kum nahin,Amitabh Bachchan Ajay Devgn Sanjay Dutt Action Comedy Hindi
Abbas–Mustan,Bobby Deol, Akshaye Khanna, Amisha Patel	Thriller Romance Musical Hindi,humraaz,Bobby Deol Akshaye Khanna Amisha Patel	Thriller Romance Musical Hindi
Rajkumar Kohli,Sunny Deol, Akshay Kumar, Sunil Shetty,Fantasy Hindi,jaani dushman,Sunny Deol Akshay Kumar Sunil Shetty Fantasy Hindi
Satish Kaushik,Tusshar Kapoor, Kareena Kapoor, Mallika Sherawat,Romance Hindi,jeena sirf merre liye,Tusshar Kapoor Kareena Kapoor Mallika Sherawat Romance Hindi
Rahul Dholakia,Jimmy Shergill, Kim Sharma, Paresh Rawal,Romance Hindi,kehtaa hai dil baar baar,Jimmy Shergill Kim Sharma Paresh Rawal Romance Hindi
Mehul Kumar,Fardeen Khan, Amrita Arora, Sonali Kulkarni,Romance Drama Comedy Hindi,kitne door kitne paas,Fardeen Khan Amrita Arora Sonali Kulkarni Romance Drama Comedy Hindi
Boney Kapoor,Jaya Bachchan, Esha Deol, Aftab Shivdasani,Drama Romance Social Hindi,koi mere dil se poochhe,Jaya Bachchan Esha Deol Aftab Shivdasani Drama Romance Social Hindi
K. Ravi Shankar,Fardeen Khan, Richa Pallod,Kadar Khan,Romance Hindi,kuch tum kaho kuch hum kahein,Fardeen Khan Richa Pallod Kadar Khan Romance Hindi
K. Murali Mohan Rao,Amisha Patel, Aftab Shivdasani, Sarfaraz Khan,Romance Hindi,kya yehi pyaar hai,Amisha Patel Aftab Shivdasani Sarfaraz Khan Romance Hindi'
Tinu Verma,Sunny Deol, Tabu, Arbaaz Khan,Drama Hindi,maa tujhhe salaam,Sunny Deol Tabu Arbaaz Khan Drama Hindi
Sohail Khan,Sohail Khan, Sameera Reddy, Eijaz Khan,Action Romance Hindi,maine dil tujhko diya,Sohail Khan Sameera Reddy Eijaz Khan Action Romance Hindi
Partho Ghosh,Sunil Shetty, Namrata Shirodkar, Inder Kumar,Action Hindi,maseeha,Sunil Shetty Namrata Shirodkar Inder Kumar Action Hindi
Sanjay Gadhvi,Uday Chopra, Bipasha Basu, Tulip Joshi,Romance,mere yaar ki shaadi hai,Uday Chopra Bipasha Basu Tulip Joshi Romance
Rishi Talwar,Sanjay Dutt, Shamita Shetty, Chandrachur Singh,Romance Drama Hindi,mohabbat ho gayi hai tumse,Sanjay Dutt Shamita Shetty Chandrachur Singh Romance Drama Hindi
Arjun Sablok,Saif Ali Khan, Hrithik Roshan, Esha Deol,Romance Drama Hindi,na tum jaano na hum,Saif Ali Khan Hrithik Roshan Esha Deol Romance Drama Hindi
Anupam Kher,Waheeda Rehman, Parmeet Sethi, Anil Kapoor, Family Drama Social Hindi,om jai jagadish,Waheeda Rehman Parmeet Sethi Anil Kapoor Family Drama Social Hindi
Mahesh Manjrekar,Sanjay Dutt, Nandita Das, Jackie Shroff, Action Drama Hindi,pitaah,Sanjay Dutt Nandita Das Jackie Shroff Action Drama Hindi
Kirti Kumar,Govinda, Rani Mukerji, Deepak Tijori,Romance Hindi,pyaar diwana hota hai,Govinda Rani Mukerji Deepak Tijori Romance Hindi
Indra Kumar	,Anil Kapoor, Karisma Kapoor, Shilpa Shetty,Drama Family,rishtey,Anil Kapoor Karisma Kapoor Shilpa Shetty Drama Family Hindi
Rajat Mukherjee,Vivek Oberoi, Antara Mali, Manoj Bajpai,Thriller Hindi,road,Vivek Oberoi Antara Mali Manoj Bajpai Thriller Hindi
Shaad Ali,Vivek Oberoi, Rani Mukerji, Shah Rukh Khan, Drama Romance Social Musical Hindi,Saathiya,Vivek Oberoi Rani Mukerji Shah Rukh Khan Drama Romance Social Musical Hindi
Boney Kapoor,Karisma Kapoor, Nana Patekar, Sanjay Kapoor,Drama Hindi,shakti,Karisma Kapoor Nana Patekar Sanjay Kapoor Drama Hindi
Gurudev Bhalla,Abhishek Bachchan, Hrishita Bhatt, Mohnish Bahl,Comedy Drama Hindi,shararat,Abhishek Bachchan Hrishita Bhatt Mohnish Bahl Comedy Drama Hindi
Sushen Bhatnagar,Sanjay Kapoor, Arbaaz Khan, Raveena Tandon	,Thriller Mystery Hindi,soch,Sanjay Kapoor Arbaaz Khan Raveena Tandon	Thriller Mystery Hindi
Rajkumar Santoshi,Ajay Devgn, Amrita Rao, Sushant Singh,Historical Drama Hindi,the legend of bhagat singh,Ajay Devgn Amrita Rao Sushant Singh Historical Drama Hindi
Pankaj Parashar,Salman Khan, Dia Mirza, Sushmita Sen,Drama Action Hindi,tumko na bhool paayenge,Salman Khan Dia Mirza Sushmita Sen Drama Action Hindi
Deepak Anand,Nakul Kapoor, Rati Agnihotri, Kim Sharma,Romance Drama Hindi,tum se achcha kaun hai,Nakul Kapoor Rati Agnihotri Kim Sharma Romance Drama Hindi
Manoj Agrawal,Govinda, Raveena Tandon, Preeti Jhangiani,Comedy Hindi,waah tera kya kehna,Govinda Raveena Tandon Preeti Jhangiani Comedy Hindi
David Dhawan,Rishi Kapoor, Salman Khan, Amisha Patel,Comedy Hindi,yeh hai jalwa,Rishi Kapoor Salman Khan Amisha Patel Comedy Hindi
Manmohan Desai,Amitabh Bachchan,Rishi Kapoor,Rati Agnihotri, Action Comedy Hindi ,coolie,Amitabh Bachchan Rishi Kapoor Rati Agnihotri Action Comedy Hindi
Mukul S. Anand,Amitabh Bachchan,Mithun Chakraborty,Madhavi,Action Crime Hindi,agneepath,Amitabh Bachchan Mithun Chakraborty Madhavi Action Crime Hindi
Manmohan Desai,Amitabh Bachchan,Amrita Singh,Nirupa Roy,Action Hindi,mard,Amitabh Bachchan Amrita Singh Nirupa Roy Action Hindi
Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar,Action Biography Drama,tanhaji: the unsung warrior,Ajay Devgn Saif Ali Khan Sharad Kelkar Action Biography Drama
Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh,Crime Drama Mystery,badla,Amitabh Bachchan Taapsee Pannu Amrita Singh Crime Drama Mystery 
Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam,Comedy,bala,Ayushmann Khurrana Bhumi Pednekar Yami Gautam Comedy
Ali Abbas Zafar,Salman Khan,Katrina Kaif,Sunil Grover,Action Comedy Drama,bharat,Salman Khan Katrina Kaif Sunil Grover Action Comedy Drama				
Manoj Sharma,Krishna Abhishek,Mithun Chakraborty,Tanaji Galgunde,Comedy Horror,bhootiyapa,Krishna Abhishek Mithun Chakraborty Tanaji Galgunde Comedy Horror
Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Comedy Drama,chhichhore,Sushant Singh Rajput Shraddha Kapoor Varun Sharma Comedy Drama
Aditya Datt,Vidyut Jammwal,Adah Sharma,Gulshan Devaiah,Action Adventure Thriller,commando 3,Vidyut Jammwal Adah Sharma Gulshan Devaiah Action Adventure Thriller
Prabhu Deva,Salman Khan,Sudeep,Sonakshi Sinha,Action Comedy Crime,dabangg 3,Salman Khan Sudeep Sonakshi Sinha Action Comedy Crime
Raaj Shaandilyaa,Ayushmann Khurrana,Nushrat Bharucha,Annu Kapoor,Comedy Romance,dream girl,Ayushmann Khurrana Nushrat Bharucha Annu Kapoor Comedy Romance	  
Manoj Sharma,Mithun Chakraborty,Brijendra Kala,Manoj Pahwa,Horror,flat no. 420,Mithun Chakraborty Brijendra Kala Manoj Pahwa Horror
Zoya Akhtar,Vijay Varma	Nakul,Roshan Sahdev,Ranveer Singh,Drama Music Romance,gully boy,Vijay Varma	Nakul Roshan Sahdev Ranveer Singh Drama Music Romance
Farhad Samji,Akshay Kumar,Sam Nagar,Riteish Deshmukh,Action Comedy Drama,housefull 4,Akshay Kumar Sam Nagar Riteish Deshmukh Action Comedy Drama
Abhishek Dixit,Prit Kamani,Simran Sharma,Anshuman Malhotra,Drama,hum chaar,Prit Kamani Simran Sharma Anshuman Malhotra Drama
Lalit Mohan,Karanvir Bohra,Priya Banerjee,Mahesh Balraj,Action Drama Romance,hume tumse pyaar kitna,Karanvir Bohra Priya Banerjee Mahesh Balraj Action Drama Romance 
Prashant Singh,Sidharth Malhotra,Parineeti Chopra,Javed Jaffrey,Action Comedy Drama,jabariya jodi,Sidharth Malhotra Parineeti Chopra Javed Jaffrey Action Comedy Drama
Sandeep Reddy Vanga,Shahid Kapoor,Kiara Advani,Nikita Dutta,Action Drama Romance,kabir singh,Shahid Kapoor Kiara Advani Nikita Dutta Action Drama Romance
Abhishek Varman,Varun Dhawan,Alia Bhatt,Madhuri Dixit,Drama Romance,kalank,Varun Dhawan Alia Bhatt Madhuri Dixit Drama Romance
Laxman Utekar,Kartik Aaryan,Kriti Sanon,Aparshakti Khurana,Comedy Romance,luka chuppi,Kartik Aaryan Kriti Sanon Aparshakti Khurana Comedy Romance 
Gopi Puthran,Sunny Hinduja,Rani Mukerji,Rajesh Sharma,Action Crime Drama,mardaani 2,Sunny Hinduja Rani Mukerji Rajesh Sharma Action Crime Drama
Milap Zaveri,Riteish Deshmukh,Sidharth Malhotra,Tara Sutaria,Action Drama Romance,marjaavaan,Riteish Deshmukh Sidharth Malhotra Tara Sutaria Action Drama Romance	  
Jagan Shakti,Akshay Kumar,Vidya Balan,Taapsee Pannu,Drama History,mission mangal,Akshay Kumar Vidya Balan Taapsee Pannu Drama History
Anees Bazmee,Anil Kapoor,John Abraham,Ileana D'Cruz,Action Comedy,pagalpanti,Anil Kapoor John Abraham Ileana D'Cruz Action Comedy
Ashutosh Gowariker,Arjun Kapoor,Sanjay Dutt,Kriti Sanon,Action Drama History,panipat,Arjun Kapoor Sanjay Dutt Kriti Sanon Action Drama History				
Mudassar Aziz,Kartik Aaryan,Bhumi Pednekar,Ananya Panday,Comedy Romance,pati patni aur woh,Kartik Aaryan Bhumi Pednekar Ananya Panday Comedy Romance
Ajay Bahl,Akshaye Khanna,Richa Chadha,Rahul Bhatt,Crime Drama Mystery,section 375,Akshaye Khanna Richa Chadha Rahul Bhatt Crime Drama Mystery  
Abhishek Chaubey,Sushant Singh Rajput,Bhumi Pednekar,Ashutosh Rana,Action Crime Drama,sonchiriya,Sushant Singh Rajput Bhumi Pednekar Ashutosh Rana Action Crime Drama  
Abhishek Sharma,Sonam Kapoor,Dulquer Salmaan,Sanjay Kapoor,Comedy Drama Romance,the zoya factor,Sonam Kapoor Dulquer Salmaan Sanjay Kapoor Comedy Drama Romance
Indra Kumar,Ajay Devgn,Anil Kapoor,Madhuri Dixit,Action Adventure Comedy,total dhamaal,Ajay Devgn Anil Kapoor Madhuri Dixit Action Adventure Comedy 